Name of Facebook Group,Group URL,Number of followers (nearest 1000)
Historic Mohave County Arizona,"http://www.facebook.com/groups/114791978550253
",0.0
Old West History Consortium,"http://www.facebook.com/groups/OldWestHistoryConsortium
",2000.0
"OLD WEST LEGENDS,Outlaws, Gunfighters, Lawmen .","http://www.facebook.com/groups/204190439914193
",40400.0
The Rearchers of the Old Wild West,"http://www.facebook.com/groups/711072169663110
",0.0
Our Ozarks History,"http://www.facebook.com/groups/OurOzarksHistory
",13600.0
❤️ Arkansas & Missouri History ❤️ U.S Tidbits,"http://www.facebook.com/groups/234039950342068
",19900.0
Arkansas Chapter of the VGA,"http://www.facebook.com/groups/vga.arkansas
",0.0
Arkansas Genealogy! Just Ask!,"http://www.facebook.com/groups/ArkansasGenealogyJustAsk
",2100.0
Arkansas Genealogy Network,"http://www.facebook.com/groups/150523158353289
",5900.0
Arkansas Gravestones Org,"http://www.facebook.com/groups/187481511276165
",0.0
Arkansas Ozarks Genealogical Society,"http://www.facebook.com/groups/244348612282534
",0.0
Arkansas Tombstone Photos,"http://www.facebook.com/groups/637498409594263
",10100.0
"Ark-La-Tex Genealogical Association Shreveport, LA","http://www.facebook.com/groups/ALTGA
",0.0
Baxter County History and Genealogy,"http://www.facebook.com/groups/340037656082583
",1600.0
"Benton County, Arkansas Genealogy","http://www.facebook.com/groups/223064447727827
",0.0
Clay County Arkansas Genealogy Group,"http://www.facebook.com/groups/136701816347026
",0.0
Clay County Memories,"http://www.facebook.com/groups/274426502641306
",2600.0
"Columbia County, Arkansas History and Genealogies (Magnolia, Arkansas)","http://www.facebook.com/groups/1499639616988509
",3300.0
Crawford County Genealogical Society,"http://www.facebook.com/groups/471470839967571
",0.0
Faulkner County Arkansas Genealogy Chat,"http://www.facebook.com/groups/1775236986040268
",0.0
"Old Photos of Hot Springs, AR.","http://www.facebook.com/groups/550922781712157
",8200.0
Independence County Genealogy,"http://www.facebook.com/groups/1722277841362569
",0.0
"IZARD COUNTY, ARKANSAS GENEALOGY GROUP","http://www.facebook.com/groups/1466894476661638
",0.0
"Memories of Lunenburg, Arkansas USA","http://www.facebook.com/groups/231356286908495
",0.0
Izard County Families,"http://www.facebook.com/groups/IzardCountyFamilies
",0.0
"Clarksville, Arkansas Family History Center","http://www.facebook.com/groups/clarksville.ar.fhc
",0.0
Madison County (Arkansas) Genealogical & Historical Society,"http://www.facebook.com/groups/175955869084615
",6000.0
Wilson Arkansas Historical and Genealogy Site,"http://www.facebook.com/groups/WilsonArkansasHistoricalandGenealogySite
",1800.0
Benton County Cemetery Preservation Group,"http://www.facebook.com/groups/177348508986521
",0.0
Northwest Arkansas Genealogical Society,"http://www.facebook.com/groups/nwags
",0.0
"Perry County, Arkansas Genealogy and History","http://www.facebook.com/groups/976180072452194
",0.0
Friends of Pike County Archives,"http://www.facebook.com/groups/248355341870679
",1100.0
